fase,contamination,n_estimators,max_samples,max_features,prep,n_feats,subset,promocionable,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,0.005,500,128,0.5,standard,17,17,directo,q10,108,149,1.0,0.6478,0.4202,0.5918,0.5592,108,93,1.0,0.4043,0.5373,0.699,0.7249
fase1,0.005,500,128,0.5,standard,17,17,directo,q05,108,105,1.0,0.4565,0.507,0.6729,0.6893,108,82,1.0,0.3565,0.5684,0.7248,0.7574
fase1,0.005,500,128,0.5,standard,17,17,directo,q01,108,53,1.0,0.2304,0.6708,0.803,0.8432,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.005,500,128,0.7,standard,17,17,directo,q10,108,167,1.0,0.7261,0.3927,0.564,0.5059,108,95,1.0,0.413,0.532,0.6945,0.7189
fase1,0.005,500,128,0.7,standard,17,17,directo,q05,108,106,1.0,0.4609,0.5047,0.6708,0.6864,108,83,1.0,0.3609,0.5654,0.7224,0.7544
fase1,0.005,500,128,0.7,standard,17,17,directo,q01,108,54,1.0,0.2348,0.6667,0.8,0.8402,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.005,500,128,1.0,standard,17,17,directo,q10,108,149,1.0,0.6478,0.4202,0.5918,0.5592,108,93,1.0,0.4043,0.5373,0.699,0.7249
fase1,0.005,500,128,1.0,standard,17,17,directo,q05,108,112,1.0,0.487,0.4909,0.6585,0.6686,108,86,1.0,0.3739,0.5567,0.7152,0.7456
fase1,0.005,500,128,1.0,standard,17,17,directo,q01,108,51,1.0,0.2217,0.6792,0.809,0.8491,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.005,500,auto,0.5,standard,17,17,directo,q10,108,162,1.0,0.7043,0.4,0.5714,0.5207,108,97,1.0,0.4217,0.5268,0.6901,0.713
fase1,0.005,500,auto,0.5,standard,17,17,directo,q05,108,140,1.0,0.6087,0.4355,0.6067,0.5858,108,81,1.0,0.3522,0.5714,0.7273,0.7604
